dt_datetime	operation	secid	sec_name	amount	price	total	currency	commission	tax	nkd
2020-06-02 11:17:00	buy	MTSS	МТС	10	323.0	3230.0	RUR	9.69	0.0	0.0
2020-11-16 14:04:00	buy	MTSS	МТС	10	320.95	3209.5	RUR	9.63	0.0	0.0
2021-06-21 08:00:00	dividend	PHOR	PhosAgro PAO	0	315.0	315.0	RUR	0.0	41.0	0.0
2020-07-06 11:39:00	dividend	MGNT	Магнит ао	0	314.0	314.0	RUR	0.0	41.0	0.0
2019-12-09 11:13:00	buy	MTSS	МТС	10	301.8	3018.0	RUR	9.05	0.0	0.0
2020-01-30 09:50:00	coupon	SU26211RMFS1	ОФЗ 26211	0	279.2	279.2	RUR	0.0	0.0	0.0
2020-07-30 11:48:00	coupon	SU26211RMFS1	ОФЗ 26211	0	279.2	279.2	RUR	0.0	0.0	0.0
2021-01-28 17:51:00	coupon	SU26211RMFS1	ОФЗ 26211	0	279.2	279.2	RUR	0.0	0.0	0.0
2021-08-02 10:00:00	coupon	SU26211RMFS1	ОФЗ 26211	0	279.2	279.2	RUR	0.0	0.0	0.0
2020-12-29 05:00:00	dividend	LKOH	ЛУКОЙЛ	0	276.0	276.0	RUR	0.0	36.0	0.0
2021-08-09 10:01:00	coupon	SU29006RMFS2	ОФЗ 29006	0	267.8	267.8	RUR	0.0	0.0	0.0
2021-05-18 16:40:00	buy	GAZP	ГАЗПРОМ	10	257.63	2576.3	RUR	7.73	0.0	0.0
2021-05-18 16:38:00	buy	GAZP	ГАЗПРОМ	10	257.5	2575.0	RUR	7.73	0.0	0.0
2020-12-09 10:37:00	buy	SBERP	Сбербанк АП	100	250.85	25085.0	RUR	75.26	0.0	0.0
2019-12-04 11:53:00	buy	GAZP	ГАЗПРОМ	20	249.03	4980.6	RUR	14.94	0.0	0.0
2019-12-09 11:52:00	buy	GAZP	ГАЗПРОМ	20	247.8	4956.0	RUR	14.87	0.0	0.0
2019-12-09 11:24:00	buy	SBER	Сбербанк	20	234.46	4689.2	RUR	14.07	0.0	0.0
2019-11-29 11:42:00	buy	SBER	Сбербанк	10	233.67	2336.7	RUR	7.01	0.0	0.0
2020-06-19 13:22:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2020-09-18 15:54:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2020-12-18 22:09:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2021-03-19 08:44:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2021-06-25 10:00:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2021-09-17 11:00:00	coupon	RU000A1016Z3	ПИК К 1P2	0	205.7	205.7	RUR	0.0	0.0	0.0
2020-03-11 14:44:00	buy	SBERP	Сбербанк АП	20	193.0	3860.0	RUR	11.58	0.0	0.0
2020-06-26 12:09:00	buy	GAZP	ГАЗПРОМ	260	192.173846	49965.199960000005	RUR	149.89	0.0	0.0
2020-01-13 10:24:00	dividend	LKOH	ЛУКОЙЛ	0	192.0	192.0	RUR	0.0	25.0	0.0
2020-05-07 15:19:00	buy	SBERP	Сбербанк АП	50	182.99	9149.5	RUR	27.45	0.0	0.0
2020-05-07 15:05:00	buy	SBERP	Сбербанк АП	30	182.7	5481.0	RUR	16.44	0.0	0.0
2020-10-20 12:18:00	dividend	MTSS	МТС	0	178.6	178.6	RUR	0.0	22.0	0.0
2020-03-11 14:14:00	buy	GAZP	ГАЗПРОМ	20	171.5	3430.0	RUR	10.29	0.0	0.0
2020-07-17 12:13:00	dividend	PHOR	PhosAgro PAO	0	156.0	156.0	RUR	0.0	20.0	0.0
2020-02-05 10:26:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	5.0	0.0
2020-05-08 10:26:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	7.0	0.0
2020-08-06 14:12:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	11.0	0.0
2020-11-05 10:32:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	14.0	0.0
2021-02-03 17:50:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	0.0	0.0
2021-05-10 08:00:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	0.0	0.0
2021-08-05 10:02:00	coupon	RU000A100PB0	ЖКХ Якутии в.1	0	155.8	155.8	RUR	0.0	0.0	0.0
2021-08-04 09:30:00	dividend	AFKS	Система ао	0	155.0	155.0	RUR	0.0	0.0	0.0
2020-08-06 10:12:00	buy	MOEX	Московская Биржа	10	146.95	1469.5	RUR	4.41	0.0	0.0
2020-05-08 11:53:00	coupon	RU000A0ZZRB0	АЛЬФА-Б2Р2	0	134.61	134.61	RUR	0.0	0.0	0.0
2020-11-03 11:31:00	coupon	RU000A0ZZRB0	АЛЬФА-Б2Р2	0	134.61	134.61	RUR	0.0	0.0	0.0
2021-05-10 09:20:00	coupon	RU000A0ZZRB0	АЛЬФА-Б2Р2	0	134.61	134.61	RUR	0.0	0.0	0.0
2020-04-06 15:35:00	coupon	RU000A0JXN21	АФК Система в.6	0	133.14	133.14	RUR	0.0	0.0	0.0
2020-10-08 13:12:00	coupon	RU000A0JXN21	АФК Система в.6	0	133.14	133.14	RUR	0.0	0.0	0.0
2020-01-17 10:21:00	dividend	MTSS	МТС	0	132.5	132.5	RUR	0.0	16.0	0.0
2020-10-29 12:47:00	dividend	PHOR	PhosAgro PAO	0	132.0	132.0	RUR	0.0	17.0	0.0
2020-02-06 10:22:00	coupon	SU29006RMFS2	ОФЗ 29006	0	130.59	130.59	RUR	0.0	0.0	0.0
2020-05-13 16:54:00	buy	MOEX	Московская Биржа	50	126.08	6304.0	RUR	18.91	0.0	0.0
2020-07-07 17:37:00	buy	MOEX	Московская Биржа	50	123.4	6170.0	RUR	18.51	0.0	0.0
2021-07-29 11:02:00	dividend	TATNP	Татнефть АП	0	123.0	123.0	RUR	0.0	16.0	0.0
2020-01-21 10:26:00	dividend	TATNP	Татнефть АП	0	121.8	121.8	RUR	0.0	16.0	0.0
2020-03-19 13:01:00	coupon	RU000A1016Z3	ПИК К 1P2	0	102.85	102.85	RUR	0.0	0.0	0.0
2020-10-27 12:08:00	dividend	TATNP	Татнефть АП	0	99.4	99.4	RUR	0.0	13.0	0.0
2020-07-24 19:05:00	buy	AFLT	Аэрофлот	10	87.64	876.4	RUR	2.63	0.0	0.0
2020-06-02 11:34:00	buy	AFLT	Аэрофлот	20	84.4	1688.0	RUR	5.06	0.0	0.0
2020-05-25 14:06:00	buy	AFLT	Аэрофлот	10	73.18	731.8	RUR	2.2	0.0	0.0
2021-07-29 10:00:00	dividend	VTBR	ВТБ ао	0	41.48	41.48	RUR	0.0	4.0	0.0
2020-11-16 13:56:00	buy	AFKS	Система ао	300	32.092	9627.6	RUR	28.88	0.0	0.0
2020-09-23 11:53:00	buy	AFKS	Система ао	200	22.023	4404.6	RUR	13.21	0.0	0.0
2020-10-15 11:30:00	dividend	VTBR	ВТБ ао	0	15.47	15.47	RUR	0.0	1.0	0.0
2020-07-15 11:18:00	dividend	TATNP	Татнефть АП	0	10.0	10.0	RUR	0.0	1.0	0.0
2020-07-08 13:00:00	buy	FXRW	FXRW ETF	150	0.986533	147.97995	RUR	0.44	0.0	0.0
2021-07-30 08:02:00	dividend	VTBR	ВТБ ао	0	0.52	0.52	RUR	0.0	0.0	0.0
2021-08-02 10:10:00	dividend	BANEP	Башнефт ап	0	0.5	0.5	RUR	0.0	0.0	0.0
2020-08-03 15:50:00	buy	VTBR	ВТБ ао	10000	0.040080000000000005	400.8	RUR	1.2	0.0	0.0
2020-07-22 11:32:00	buy	VTBR	ВТБ ао	10000	0.03801	380.1	RUR	1.14	0.0	0.0
2020-12-30 13:25:00	buy	VTBR	ВТБ ао	10000	0.0379	379.0	RUR	1.14	0.0	0.0
